"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Санкт-Петербург,  Лахта тер.,  Колхозная ул,  10; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  10,  1; Санкт-Петербург,  Колхозный пер,  5,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  4,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  5; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  6; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  7,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  9,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  11,  2; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  12; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  13; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  14,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  14; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  18; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  19,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  20,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  21; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  22; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  23; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  24,  а,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  25; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  27,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  29; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  31; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  33,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  33; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  4; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  16; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  32; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  10,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  8; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  12,  1,  лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  36,  а; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  4; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  6; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  8; Санкт-Петербург,  Лахта тер.,  Совхозный Пер.,  3; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.48Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.2(юго-западнее д.22 лит.А по Колхозной ул.); Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.1 (юго-западнее д.22 лит.А по Колхозной ул.); Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  участок 1 (южнее д.10 корп.1 лит.А); Санкт-Петербург,  Лахта тер.,  Колхозная ул,  рядом с д.42-2,  опора №3; Санкт-Петербург,  Лахта тер.,  Станция Лахта; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  в,  ,  лит. А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  42,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  42,  2; Санкт-Петербург,  Лахта тер.,  Совхозный Пер.,  5; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  4; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  3; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  3; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  5; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  15; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  ,  лит. Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  а; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  25,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  15,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  17,  2; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  21,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  6,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  11,  2,  А; Санкт-Петербург,  Колхозный пер,  3,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  6,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  17,  2,  А; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  14; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  3,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  23,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  35,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  20; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  16,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  5,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  24,  а лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  б,  лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  22,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  5,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  8,  Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  19,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  38,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  б,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  18,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  10,  А; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  16,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  а,  А; Санкт-Петербург,  Колхозный пер,  4,  А",2023-09-21 09:00:00,2023-09-21 17:00:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением."
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки,  АЗС-217 ""Киришиавтосервис""",,2023-09-21 09:00:00,2023-09-21 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Санкт-Петербург,Пушкинский район,г. Павловск,"ул. Декабристов д.9,  11, 11А, 13, 13А, 10, 10А, 6,  ул. Красного Курсанта д.3, 8/6,  ул. Луначарского д.12, 4, 6, 8",2023-09-21 09:00:00,2023-09-21 21:00:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Волосовский район,п. Молосковицы,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Кингисеппский район,Горки,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Кингисеппский район,Кленно,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Кингисеппский район,Килли,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Лужский район,"Большая Дивенка,  Тозырево",,2023-09-21 09:00:00,2023-09-21 19:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Лужский район,Володарское,Люблинская,2023-09-21 09:00:00,2023-09-22 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Волосовский район,"д. Голубовицы,  д. Шелково",,2023-09-21 09:00:00,2023-09-21 17:00:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы
Ленинградская область,Лужский район,Пустынь,,2023-09-21 08:00:00,2023-09-22 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,2023-09-21 06:00:00,2023-09-21 18:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Бокситогорский район,"д.Логиново,  д. Курята д.Толсть , д.Бирючево, д.Коргорка, д.Дубровка, д.Забелино, д.Маклаково, д.Селище",д.Климово пилорамы,2023-09-21 04:00:00,2023-09-21 17:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район,"Антропшино,  г. Коммунар,  д. Покровское,  Пудомягское сп.,  ,  КП ""Русская усадьба""","ул. Антропшинская ч/сектор д.75-115,  Гамболовский проезд,  ДНП Покровская Усадьба,  Парковая д.3,  Садоводство Славяночка-2,  Славяночка-3,  КП Павловские Дачи,",2023-09-21 00:00:00,2023-09-21 07:00:00,Южные электрические сети,Пушкинский РЭС,
Санкт-Петербург,Колпинский район,п. Шушары,Пром. зона Шушары,2023-09-20 14:00:00,2023-09-20 17:00:00,Южные электрические сети,Колпинский РЭС,
Ленинградская область,Выборгский район (ЛО),п.Большое Поле,частично,2023-09-20 13:00:00,2023-09-20 16:00:00,Выборгские ЭС,Выборгский РЭС,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,2023-09-20 12:00:00,2023-09-20 17:00:00,Южные электрические сети,Красносельский РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петроградская наб.,  д. 2-4; ул. Пеньковая,  д. 3,  д. 8/6; ул. Куйбышева,  д. 23 к.2",2023-09-20 12:00:00,2023-09-20 18:00:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на Т-2
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Лиговский пр. д.138 л.А; д.140 л.А; д.144 л.А,2023-09-20 11:00:00,2023-09-20 14:00:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Невский район,г. Санкт-Петербург,"пр. Елизарова,  д. 16,  лит. А.",2023-09-20 11:00:00,2023-09-20 15:00:00,Кабельная сеть,Невский РЭС,кратковременно на 1-1.5 часа
Санкт-Петербург,Пушкинский район,тер. Пулковское,"Пулковское ш. д.103 уч. 56, 57, 61, 62, 63",2023-09-20 10:00:00,2023-09-20 17:20:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,"Райкузи,  Иннолово","ул. Садовая,  ул,  Посадская,  Заречная",2023-09-20 10:00:00,2023-09-20 18:00:00,Южные электрические сети,Красносельский РЭС,"ТП-5840, ТП-6396"
Ленинградская область,Тихвинский район,д. Паголда ТП 143-22-20 (Паголда-котеджи),,2023-09-20 10:00:00,2023-09-20 17:00:00,Тихвинские ЭС,Тихвинский РЭС,Планируемое время отключения не более 5 часов в указанный период времени
Ленинградская область,Ломоносовский район,д.Лаголово,,2023-09-20 10:00:00,2023-09-20 17:00:00,Южные электрические сети,Красносельский РЭС,"ТП-6064, ТП-6491"
Ленинградская область,Всеволожский район,"СНТ «Восход»,  СНТ «Метеор»,  СНТ «Красный Маяк»,  СНТ «Электроприбор»,  СНТ им.Кулакова,  СНТ «Трансмашевец», СНТ «Метрополитеновец»,  СНТ «Управление Октябрьской железной дороги»,  СНТ «Рабочий»,  СНТ «Фрунзевец»,  СНТ «Балтиец»,  СНТ «Леспроект»,  ООО «Полюстрово»,  СНТ «Эскалатор»,  СНТ «Красная нить»,   СНТ «Севзапстрой»,  СНТ «Красная Заря» ,  СНТ «Турбостроитель»,  АСНТ «Рубикон»,  д.Васкелово  Лемболовская набережная,  МЦ «Борменталь» .",,2023-09-20 10:00:00,2023-09-20 18:00:00,Северные электрические сети,Сертоловский РЭС,
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,2023-09-20 10:00:00,2023-09-20 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 часа
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",2023-09-20 10:00:00,2023-09-20 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Тосненский район,д. Сидорово,д.21а,2023-09-20 10:00:00,2023-09-20 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,2023-09-20 10:00:00,2023-09-20 20:00:00,Южные электрические сети,Красносельский РЭС,
Ленинградская область,Ломоносовский район,д.Разбегаево,,2023-09-20 10:00:00,2023-09-20 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-506
Ленинградская область,Кингисеппский район,Солка-3,,2023-09-20 10:00:00,2023-09-20 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Лужский район,Пустынь,,2023-09-20 10:00:00,2023-09-22 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Приозерский район,п.Приладожское часть,Б/о,2023-09-20 10:00:00,2023-09-20 17:00:00,Выборгские ЭС,Приозерский РЭС,ВЛ-10кВ ф.511-05 уч. от ЛР-97 до ТП-187 - чистка трасы от ДКР
Ленинградская область,Приозерский район,п. Сосново,"ж/дома: ул. Шоссейная,  ул. Ленинградская,  ул. Набережная,  ул. Железнодорожная,  Еловый пер.,  ул. Ладожская АЗС «Кириши»,  БС ""Билайн"",  ""Газпроминвест"",  шиномонтаж,  ""Дельта""",2023-09-20 09:00:00,2023-09-20 18:00:00,Выборгские ЭС,Приозерский РЭС,
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.4,    Вокзальная ул,  д.6,    Вокзальная ул,  д.6,  лит. А,  Вокзальная ул,  д.8,    Вокзальная ул,  д.9,    Вокзальная ул,  д.10,    Сосновая ул,  д.6,   лит. А,   Детская ул,  д.41,   лит. А,     Почтовый пер,  д.8,   лит. А,  Сосновая ул,  д.6,   лит. Б,     Сосновая ул,  д.6,    Вокзальная ул,  д.11, Детская ул,  д.32,    Детская ул,  д.37,  Детская ул,  д.41,    Сосновая ул,  д.9,    Почтовый Пер.,  д.10лит.А ,  Сосновая ул,  д.11лит.А   Почтовая Ул.,  д.5,    Вокзальная ул,  д.3,   лит. а,   Почтовый Пер.,  д.8лит.А   , Почтовая Ул уч. 7 (юго-восточнее д. 15,  лит. А по Почтовой ул.)   , Сосновая ул,  д.4,   лит. ,  лит. А   Вокзальная ул,  д.11,   лит. а,  Почтовый Пер.,  д.,   лит. ,  16 лит. А   Почтовая Ул уч. 2  ,  Сосновая ул,  д.12лит. А   , Вокзальная ул,  уч 4 (южнее д. 4 лит А по Вокзальной ул) , Полевая Ул.,  д.3стр.1, Сосновая ул,  д.3, лит. А  , Детская ул,  д.31,   лит. А,  Б, В, Д,    Сосновая ул уч.5,  кад. 78:38:0022613:30   Полевая Ул.,  д.4,  Почтовый Пер.,  д.14,  Почтовый Пер.,  д.10,    Почтовый Пер.,  д.4,    Почтовая Ул.,  д.15,    Почтовая Ул.,  д.4,    Почтовая Ул.,  д.8,  Сосновая ул,  д.9,   лит. А,     Почтовая Ул.,  д.15,   лит. А,     Вокзальная ул,  д.8,   лит. А,     Вокзальная ул,  д.9,   лит. А,     Почтовый пер,  д.10,   лит. А,     Детская ул,  д.32,   лит. Б,     Сосновая ул,  д.4,   лит. А,     Почтовый пер,  д.14,   лит. А,     Почтовая Ул.,  д.16,   лит. А,     Вокзальная ул,  д.4,   лит. А,   Полевая ул,  д.4,   лит. А,     Вокзальная ул,  д.10,   лит. А,   Почтовый пер,  д.4,   лит. А,   Почтовый пер,  д.16,   лит. А,     Вокзальная ул,  д.11лит. А,  Вокзальная ул,  д.11,   лит. А,",2023-09-20 09:00:00,2023-09-20 20:00:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП
Ленинградская область,Волосовский район,"Жилгородок, Ронковицы, Ольхово, Греблово, Медниково","население,  котельные,  водозаборы",2023-09-20 09:00:00,2023-09-20 13:00:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ
Ленинградская область,Волосовский район,"Ронковицы, Ольхово, Греблово, Медниково",население,2023-09-20 09:00:00,2023-09-20 18:00:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ
Ленинградская область,Волосовский район,"Красные Череповицы, Ржевка, Клопицы (частный сектор)",население,2023-09-20 09:00:00,2023-09-20 18:00:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,2023-09-20 09:00:00,2023-09-20 17:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Волосовский район,"Шадырицы, Малая Александровка,  Неревицы",,2023-09-20 09:00:00,2023-09-20 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Подпорожский район,Хевроньино,,2023-09-20 09:00:00,2023-09-20 17:00:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки",,2023-09-20 09:00:00,2023-09-20 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Киришский район,СТ Рассвет,Полностью,2023-09-20 09:00:00,2023-09-20 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Киришский район,"д.Андреево,  д.Багольник",деревня,2023-09-20 09:00:00,2023-09-20 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Всеволожский район,д.Сярьги,,2023-09-20 09:00:00,2023-09-20 17:00:00,Северные электрические сети,Сертоловский РЭС,
Ленинградская область,Тихвинский район,"д. Рандога,  д.Крючково,  д.Кулига",,2023-09-20 09:00:00,2023-09-20 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Лужский район,Раковичи,,2023-09-20 09:00:00,2023-09-20 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Тихвинский район,г. Тихвин ТП 143-29-02 (СТО),,2023-09-20 09:00:00,2023-09-20 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Лужский район,"Стелево,  Хвощно,  Красая Горка,  Святье",,2023-09-20 08:00:00,2023-09-20 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,2023-09-20 06:00:00,2023-09-20 18:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Ломоносовский район,"д. Лопухинка,  д. Старая буря,  д. Медуши,  д. Савольщина,  д. Заостровье,  д. Горки,  д. Никольское,  ур. Никкорово,  ТЕЛЕ-2,  Пилорама,  Аква,  Близь Извары,  СНТ Медуши,  ДНП Горки-Гольф,  СНТ Олимп,  СНТ Радужное,  Хомич,  ДНП Лопухинская Мыза,  Тепличный комбинат Колос,  ООО Юлия,  ДНП Сказка,  ООО Штаб,  садоводство Морской порт,  садоводство Лопухинка,  ООО Илеть,  СНТ Луговое,  ООО Эрланг,  ДНП Лесная Поляна,  ДНП Заостровье,  КП Поляны,  Надежда,  Березняки,",И ВСЕ СНТ и ДНП находящиеся рядом с этими населенными пунктами,2023-09-19 23:30:00,2023-09-20 04:00:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые переключения по переносу нагрузки продолжительностью 30-40 минут в указанном промежутке времени
Ленинградская область,Тосненский район,"д.Нурма(часть), СНТ-Клюльвия, Нечеперть, Мир, д.Горка, д.Жоржино",,2023-09-19 21:06:00,2023-09-19 21:26:00,Гатчинские ЭС,Тосненский РЭС,Переключения .
Санкт-Петербург,Красносельский район,г. Красное Село,"Квартал А-10 ,  ул. Освобождения , д.29/2 лит.А. ,  д.29/3 лит.А ,  Школа №27, №270, 29/1, 31а, 33-1, 31-1,  31-3, 31-2,  к.24, 30, 31,  д.23к.1,  25к.1, 2, д.27 к.1 ул. Спирина д.1/1, 1/2,  1/3, 3/1, 3/2, 3/3 ,  д.7 к.3, д.9 к.1, 2, 21а, ул. Геологическая д.42 ,  д.44/1 ,  46-2, 46-3, 33-2, 31-2,  к.25, 26, 27, 32",2023-09-19 20:00:00,2023-09-20 06:00:00,Южные электрические сети,Красносельский РЭС,На 30 минут.
Санкт-Петербург,Красносельский район,"г. Красное Село ,  д. Лаголово","г. Красное Село  Кингисеппское шоссе ш. д.27 к.2 лит.Л.  д. Лаголово  Школа ,  ул. Садовая",2023-09-19 20:00:00,2023-09-20 06:00:00,Южные электрические сети,Красносельский РЭС,На 30 минут.
Ленинградская область,Ломоносовский район,д.Пеники и др.,ч/с и др. объекты,2023-09-19 20:00:00,2023-09-20 23:59:00,,,"Кратковременное отключение Ф.223-07 19.09.2023 и 20.09.2023 в период времени с 20-00 до 24-00 продолжительностью до 5 минут. Изменение уставок РЗиА по Ф.223-07 на ПС-223 ""Дамба""."
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,ул. Гаккелевская д. 21 лит. А (ГЩВУ-2),2023-09-19 18:00:00,2023-09-19 22:00:00,Кабельная сеть,Западный РЭС,
Ленинградская область,Выборгский район (ЛО),п Заполье,ДНП Полянка,2023-09-19 14:00:00,2023-09-19 16:00:00,Выборгские ЭС,Рощинский РЭС,
Ленинградская область,Волосовский район,Клопицы,"население МКД №1, 2, 3, 13, 14, 15,  водозабор,  школа,  ГРС",2023-09-19 13:00:00,2023-09-19 17:00:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ТП-8126
Ленинградская область,Всеволожский район,Невская Дубровка,,2023-09-19 12:00:00,2023-09-19 17:00:00,Северные электрические сети,Всеволожский РЭС,
Санкт-Петербург,Красносельский район,Красное село,"пр. Ленеина,  ул.Красноармейская",2023-09-19 12:00:00,2023-09-19 15:00:00,Южные электрические сети,Красносельский РЭС,ТП-413 1СШ
Ленинградская область,,"Даймище,  Рождествено",,2023-09-19 12:00:00,2023-09-19 18:00:00,Гатчинские ЭС,Гатчинский РЭС,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Димитрова,  д. 12,  к.1,  лит.А; д. 16,  к.1,  к.2,  к.3; д. 16,  к.4,  стр.1; Будапештская,  ул.,  д. 65,  к.2,  лит.А",2023-09-19 11:00:00,2023-09-19 17:00:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,"Лиговский пр. д. 271 стр. 1,  д. 273 лит. Г1",2023-09-19 11:00:00,2023-09-19 17:00:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Будапештская,  д. 12,  к. 2; д. 14 к.1,  к.2; ул. Белы Куна д. 2,  к.1,  к.2.",2023-09-19 11:00:00,2023-09-19 17:00:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Красносельский район,Сосновая Поляна,"П.Гарькавого 33/1, 35/2,  2-я Комсомольская 36/1, 36/2",2023-09-19 11:00:00,2023-09-19 19:00:00,Южные электрические сети,Петродворцовый  РЭС,"ТП-015 РУ 0,4кВ монтаж ТТ."
Ленинградская область,Волосовский район,п. Бегуницы д. Б. Лашковицы д. Большое Тешково д. Малое Тешково д. Куйлово  д. Томарово д. Кемполово д. Красная Мыза д. Кайкино д. Синковицы д. Старые Бегуницы,,2023-09-19 11:00:00,2023-09-19 17:00:00,Гатчинские ЭС,Ломоносовский РЭС,Аварийное отключение
