"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий
Ленинградская область,Гатчинский район,Батово,,2023-09-19 10:30:00,2023-09-19 18:00:00,Гатчинские ЭС,Гатчинский РЭС,
Ленинградская область,Бокситогорский район,д. Костерино,,2023-09-19 10:00:00,2023-09-19 16:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Санкт-Петербург,Пушкинский район,тер. Пулковское,"Пулковское ш. д.103 уч. 56, 57, 61, 62, 63",2023-09-19 10:00:00,2023-09-19 17:20:00,Южные электрические сети,Пушкинский РЭС,
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"19-я линия,  д. 32,  д. 32 к.3,  лит. И; Малый пр.,  д. 54",2023-09-19 10:00:00,2023-09-19 18:00:00,Кабельная сеть,Островной РЭС,
Ленинградская область,Приозерский район,п.Богатыри,Частично,2023-09-19 10:00:00,2023-09-19 17:00:00,Выборгские ЭС,Приозерский РЭС,ВЛ-10кВ ф.415-04 Уч. от ЛР-473 до ТП-0967 - Замена изоляторов на оп. № 15
,,"Райкузи,  Иннолово","ул. Садовая,  ул,  Посадская,  Заречная",2023-09-19 10:00:00,2023-09-19 18:00:00,Южные электрические сети,Красносельский РЭС,"ТП-5840, ТП-6396"
Санкт-Петербург,Калининский район,Санкт-Петербург,"Бестужевская ул.,  д.5/1,  5/2,  7/6",2023-09-19 10:00:00,2023-09-19 16:00:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Ломоносовский район,д.Лаголово,,2023-09-19 10:00:00,2023-09-19 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-2044
Ленинградская область,Всеволожский район,"СНТ «Восход»,  СНТ «Метеор»,  СНТ «Красный Маяк»,  СНТ «Электроприбор»,  СНТ им.Кулакова,  СНТ «Трансмашевец», СНТ «Метрополитеновец»,  СНТ «Управление Октябрьской железной дороги»,  СНТ «Рабочий»,  СНТ «Фрунзевец»,  СНТ «Балтиец»,  СНТ «Леспроект»,  ООО «Полюстрово»,  СНТ «Эскалатор»,  СНТ «Красная нить»,   СНТ «Севзапстрой»,  СНТ «Красная Заря» ,  СНТ «Турбостроитель»,  АСНТ «Рубикон»,  д.Васкелово  Лемболовская набережная,  МЦ «Борменталь» .",,2023-09-19 10:00:00,2023-09-19 18:00:00,Северные электрические сети,Сертоловский РЭС,
Санкт-Петербург,Центральный район,Санкт-Петербург,"Итальянская ул., д.25, 10, Садовая ул., д.12,  ул. Малая Садовая,  д. 1/25",2023-09-19 10:00:00,2023-09-19 18:00:00,Кабельная сеть,Центральный РЭС,
Ленинградская область,Всеволожский район,"д.Суоранда, д.Верхняя",,2023-09-19 10:00:00,2023-09-19 18:36:00,Северные электрические сети,Всеволожский РЭС,
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,2023-09-19 10:00:00,2023-09-19 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 часа
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"ул. Уральская,  д. 8а; д. 8б,  д. 11,  д. 13 лит. П,  Ф; ул. Железноводская,  д. 10",2023-09-19 10:00:00,2023-09-19 18:00:00,Кабельная сеть,Островной РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"ул. Ремесленная,  д. 9 к.2; Петровский пр.,  д. 20 лит. З,  к. 4,  д. 20 лит. С",2023-09-19 10:00:00,2023-09-19 18:00:00,Кабельная сеть,Островной РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петроградская наб.,  д. 26-28,  д. 30,  д. 32; Пинский пер.,  д. 1-3",2023-09-19 10:00:00,2023-09-19 18:00:00,Кабельная сеть,Островной РЭС,
Ленинградская область,Всеволожский район,Невская Дубровка,,2023-09-19 10:00:00,2023-09-19 17:00:00,Северные электрические сети,Всеволожский РЭС,
Санкт-Петербург,Калининский район,Санкт-Петербург,пр.Мечникова/ул.Замшина-светофор; ЖЭУ 21 Калининского района,2023-09-19 10:00:00,2023-09-19 22:00:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",2023-09-19 10:00:00,2023-09-19 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Киришский район,ур.Посадников Остров,"СНТ Радуга 2,  СНТ Радуга ,  СНТ Жилищник,  СНТ  Луг,  СНТ  Дружба,  СНТ  Энергетик,  СНТ  Водник,  МТС Посадниково,  СНТ Свет,  СНТ Анкер,  Союз,  СНТ Восток,  Вышка связи,  СНТ Маяк,  СНТ Флора,  СНТ Дорожник,  СНТ Рестовратор,  СНТ Строитель,  СНТ Ветвузовец,  СНТ Меридиан,  СНТ Содружество,  СНТ Сигнал,  СНТ Эра,  СНТ Изумрудное,  СНТ Глобус,  СНТ Вымпел,  Линк",2023-09-19 10:00:00,2023-09-19 15:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Тосненский район,д. Сидорово,д.21а,2023-09-19 10:00:00,2023-09-19 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Выборгский район (ЛО),п.Житково,частично,2023-09-19 10:00:00,2023-09-19 17:00:00,Выборгские ЭС,Выборгский РЭС,
Санкт-Петербург,Пушкинский район,г. Пушкин,"Витебский пр-т,  Заправки Тибойл (Шелл),  Кириши,  ГазпромНефть",2023-09-19 10:00:00,2023-09-19 17:00:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,"СНТ Балтийская Слобода 1,  2,  3; ДНП Калитино; ДНП Малиновые вечера ,",,2023-09-19 10:00:00,2023-09-19 17:00:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы
Санкт-Петербург,Пушкинский район,г. Пушкин,ул. Октябрьский б-р д.7/29,2023-09-19 10:00:00,2023-09-19 17:00:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,д.Гостилицы (частично),"Котельная,  гаражи,  мастерские,  мол.завод",2023-09-19 10:00:00,2023-09-19 17:30:00,Гатчинские ЭС,Ломоносовский РЭС,"Плановые работы на участке ВЛ-10кВ.
Согласование №266"
Санкт-Петербург,Адмиралтейский район,Санкт-Петербург,"Рижский пр.,  д. 58,  лит. И",2023-09-19 10:00:00,2023-09-19 22:00:00,Кабельная сеть,Центральный РЭС,Аварийные работы
Ленинградская область,Выборгский район (ЛО),п Волочаевка,ДНП Волочаевское,2023-09-19 10:00:00,2023-09-19 14:00:00,Выборгские ЭС,Рощинский РЭС,
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Пискаревский пр.,  д.37/2",2023-09-19 10:00:00,2023-09-19 17:00:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Гатчинский район,"п.Новинка, д.Новинка, Озерешно, Ольховец, Нестерково, Тарасино, Чаща, Дальний, Воцко, Кремено, Ракитино, СНТ""Новинка"".",,2023-09-19 10:00:00,2023-09-19 18:00:00,,,Работы на ПС-35 кВ Новинка.
Ленинградская область,Тосненский район,Федоровское,"шоссейная,  Красный Бор,  СНТ ""Микрорайон Самсоновка""",2023-09-19 10:00:00,2023-09-19 17:20:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,"д.Порзолово Болото,  СНТ ""Московка"",  СНТ ""Гнездо"" и др.","ч/с,  промзона и др. объекты",2023-09-19 10:00:00,2023-09-19 18:00:00,Южные электрические сети,Петродворцовый  РЭС,"Неплановые работы по ремонту ППр-394, перенос токоразделов."
Ленинградская область,Ломоносовский район,"д.Кабацкое,  д.Ускуля,  д.Кукушкино,  д. Кузнецы,  д. Б. Коновалово,  ДНП ""Лада"",  ДНП ""Дружное"",  и др.",ч/с промзона и пр.,2023-09-19 10:00:00,2023-09-19 18:00:00,Южные электрические сети,Петродворцовый  РЭС,"Работы по монтажу опор ВЛ-6кВ, Ф.Гидроприбор-12, от РК-15 в сторону ТП-841П."
Ленинградская область,Выборгский район (СПб),"п.Возрождение,  п.Глубокое",частично,2023-09-19 10:00:00,2023-09-19 17:00:00,Выборгские ЭС,Выборгский РЭС,
Ленинградская область,Выборгский район (ЛО),п.Ермилово,частично,2023-09-19 10:00:00,2023-09-22 17:00:00,Выборгские ЭС,Выборгский РЭС,
Ленинградская область,Выборгский район (ЛО),п.Козлово,частично,2023-09-19 10:00:00,2023-09-19 16:00:00,Выборгские ЭС,Выборгский РЭС,
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"Средний пр.,  д. 61,  д. 65/41; 15-я линия,  д. 40; 16-я линия,  д. 41",2023-09-19 10:00:00,2023-09-19 18:00:00,Кабельная сеть,Островной РЭС,
Ленинградская область,Кингисеппский район,Тикопись,,2023-09-19 10:00:00,2023-09-19 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Ломоносовский район,д.Дубки и др.,"ч/с,  промзона и др. объекты",2023-09-19 10:00:00,2023-09-19 14:00:00,Южные электрические сети,Петродворцовый  РЭС,Аварийные работы по устранению ДКП (дерево) с ВЛ-6кВ.
Ленинградская область,Ломоносовский район,д.Лопухинка (частично),"ул.Сиреневая,  ул.Счастливая,  ул.Счастливая,  ул.Берёзовая,  ул.1-я линия,  ул.2-я линия.Центр занятости ""Надежда""",2023-09-19 10:00:00,2023-09-19 17:30:00,Гатчинские ЭС,Ломоносовский РЭС,"Неотложные работы на ТП-10/0.4кВ.
Согласование №270."
Ленинградская область,Лодейнопольский район,Вязикиничи,,2023-09-19 10:00:00,2023-09-19 16:00:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Приозерский район,"п.Ромашки часть,  п.Новая деревня",полностью,2023-09-19 10:00:00,2023-09-19 17:00:00,Выборгские ЭС,Приозерский РЭС,ВЛ-10кВ ф.Сап-07 Уч. от ПП-452 до ЛР-330 - Замена изоляторов на оп. № 278
Ленинградская область,Бокситогорский район,д.Бор (ч/сектор),,2023-09-19 09:30:00,2023-09-19 17:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.4,  Вокзальная ул,  д.6,  Вокзальная ул,  д.6,  лит. А,  Вокзальная ул,  д.8,  Вокзальная ул,  д.9,  Вокзальная ул,  д.10,  Сосновая ул,  д.6,  лит. А,  Детская ул,  д.41,  лит. А,  Почтовый пер,  д.8,  лит. А,  Сосновая ул,  д.6,  лит. Б,  Сосновая ул,  д.6,  Вокзальная ул,  д.11,  Детская ул,  д.32,  Детская ул,  д.37,  Детская ул,  д.41,  Сосновая ул,  д.9,  Почтовый Пер.,  д.10лит.А ,  Сосновая ул,  д.11лит.А Почтовая Ул.,  д.5,  Вокзальная ул,  д.3,  лит. а,  Почтовый Пер.,  д.8лит.А ,  Почтовая Ул уч. 7 (юго-восточнее д. 15,  лит. А по Почтовой ул.) ,  Сосновая ул,  д.4,  лит. ,  лит. А Вокзальная ул,  д.11,  лит. а,  Почтовый Пер.,  д.,  лит. ,  16 лит. А Почтовая Ул уч. 2 ,  Сосновая ул,  д.12лит. А ,  Вокзальная ул,  уч 4 (южнее д. 4 лит А по Вокзальной ул) ,  Полевая Ул.,  д.3стр.1,  Сосновая ул,  д.3,  лит. А ,  Детская ул,  д.31,  лит. А,  Б,  В,  Д,  Сосновая ул уч.5,  кад. 78:38:0022613:30 Полевая Ул.,  д.4,  Почтовый Пер.,  д.14,  Почтовый Пер.,  д.10,  Почтовый Пер.,  д.4,  Почтовая Ул.,  д.15,  Почтовая Ул.,  д.4,  Почтовая Ул.,  д.8,  Сосновая ул,  д.9,  лит. А,  Почтовая Ул.,  д.15,  лит. А,  Вокзальная ул,  д.8,  лит. А,  Вокзальная ул,  д.9,  лит. А,  Почтовый пер,  д.10,  лит. А,  Детская ул,  д.32,  лит. Б,  Сосновая ул,  д.4,  лит. А,  Почтовый пер,  д.14,  лит. А,  Почтовая Ул.,  д.16,  лит. А,  Вокзальная ул,  д.4,  лит. А,  Полевая ул,  д.4,  лит. А,  Вокзальная ул,  д.10,  лит. А,  Почтовый пер,  д.4,  лит. А,  Почтовый пер,  д.16,  лит. А,  Вокзальная ул,  д.11лит. А,  Вокзальная ул,  д.11,  лит. А",2023-09-19 09:00:00,2023-09-19 20:00:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП
Ленинградская область,Гатчинский район,Новинка-Кордон,,2023-09-19 09:00:00,2023-09-19 17:00:00,Гатчинские ЭС,Тосненский РЭС,Капитальный ремонт ТП
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.1 А ,  Пограничная ул,  д.1  ,  Пограничная ул,  д.2  ,  Пограничная ул,  д.4 А ,  Пограничная ул,  д.5  ,  Пограничная ул,  д.5 А ,  Пограничная ул,  д.6  ,  Пограничная ул,  д.7 А ,  Пограничная ул,  д.9  ,  Пограничная ул,  д.11  ,  Пограничная ул,  д.12  ,  Пограничная ул,  д.14 А ,  Пограничная ул,  д.15  ,  Пограничная ул,  д.22 А ,  Пограничная ул,  д.23  ,  Пограничная ул,  д.25  ,  Пограничная ул,  д.30  ,  Пограничная ул,  д.32  ,  Пограничная ул,  д.33  ,  Пограничная ул,  д.34  ,  Пограничная ул,  д.35  ,  Пограничная ул,  д.35 А ,  Пограничная ул,  д.38  ,  Пограничная ул,  д.42 А ,  Зелёный пер,  д.6 Б ,  Зелёный пер,  д.8  ,  Парковая ул,  д.4  ,  Парковая ул,  д.5 А ,  Парковая ул,  д.6  ,  Парковая ул,  д.7  ,  Парковая ул,  д.11  ,  Парковая ул,  д.13  ,  Парковая ул,  д.24  ,  Парковая ул,  д.25  ,  Парковая ул,  д.27  ,  Парковая ул,  д.29  ,  Парковая ул,  д.35  ,  Парковая ул,  д.37  ,  Парковая ул,  д.39 А ,  Пограничная ул,  д.31  ,  Парковая ул,  д.3  ,  Парковая ул,  д.5  ,  Парковая ул,  д.6 А ,  Парковая ул,  д.10  ,  Парковая ул,  д.12  ,  Парковая ул,  д.13 А ,  Парковая ул,  д.14  ,  Парковая ул,  д.17  ,  Парковая ул,  д.20  ,  Парковая ул,  д.25 А ,  Пограничная ул,  д.2 Б ,  Пограничная ул,  д.4  ,  Пограничная ул,  д.9 А ,  Пограничная ул,  д.10  ,  Пограничная ул,  д.12 А ,  Пограничная ул,  д.14  ,  Пограничная ул,  д.17  ,  Пограничная ул,  д.18  ,  Пограничная ул,  д.22  ,  Пограничная ул,  д.25 А ,  Пограничная ул,  д.26 А ,  Пограничная ул,  д.37 А ,  Пограничная ул,  д.39  ,  Пограничная ул,  д.43  ,  Пограничная ул,  д.44  ,  Зелёный пер,  д.4 А ,  Зелёный пер,  д.16 А ,  Парковая ул,  д.37 А ,  Парковая ул,  д.1 А ,  Зелёный пер,  д.6  ,  лит. А,  Зелёный пер,  д.10  ,  Зелёный пер,  д.20  ,  Пограничная ул,  д.24  лит.А, Б, В, Д, Е, Ж, И, К, М, Н, Р, П, С,  Парковый Пер.,  д.8  ,  Парковая ул,  д.8  лит.А,  Парковая ул,  д.21 б ,  Пограничная ул,  д.3  лит. А,  Пограничная ул,  д.20  лит.А,  Пограничная ул,  д.26  ,  Пограничная ул,  д.29  лит.А,  Пограничная ул,  д.40  ,  Пограничная ул,  д.42  лит.А,  Пограничная ул,  д.29  лит.Б,  Парковая ул,  д.  д.9,  Пограничная ул,  д.43 А ,  Парковая ул,  д.29 А ,  Пограничная ул,  д.6 А ,  Пограничная ул,  д.17 А ,  Пограничная ул,  д.29 А ,  Парковая ул,  д.8 А ,  Парковая ул,  д.28 А ,  Пограничная ул,  д.1 А ,  Парковая ул,  д.14 Б ,  Пограничная ул,  д.19 Б ,  Парковая ул,  д.24 А ,  Зелёный пер,  д.4  ,  Пограничная ул,  д.11 А ,  Парковая ул,  д.2  ,  Пограничная ул,  д.46  ,  Парковая ул,  д.31  ,  Пограничная ул,  д.27 А ,  Пограничная ул,  д.29 Б ,  Парковая ул,  д.35 А ,  Пограничная ул,  д.33 А ,  Пограничная ул,  д.23 А ,  Парковая ул,  д.11 А ,  Парковая ул,  д.21 А ,  Парковая ул,  д.31 А ,  Пограничная ул,  д.41  ,  Пограничная ул,  д.3 А ,  Парковая ул,  д.4 А ,  Пограничная ул,  д.20 А ,  Парковая ул,  д.12 А ,  Пограничная ул,  д.19 А ,  Пограничная ул,  д.36 А ,  Парковая ул,  д.7 А ,  Пограничная ул,  д.27  ,  Пограничная ул,  д.39 А ,  Пограничная ул,  д.46 А ,  Парковая ул,  д.10 А ,  Пограничная ул,  д.18 А ,  Пограничная ул,  д.36  ,  Парковая ул,  д.17 А ,  Пограничная ул,  д.19  ,  Пограничная ул,  д.13  ,  Пограничная ул,  д.13 А ,  Парковая ул,  д.3 А ,  Парковая ул,  д.9 А ,  Пограничная ул,  д.15 А ,  Парковая ул,  д.27 А ,  Пограничная ул,  д.34 А",2023-09-19 09:00:00,2023-09-19 20:00:00,Северные электрические сети,Курортный РЭС,ремонт здания
Санкт-Петербург,Курортный район,п.Лисий Нос,"Морские Дубки ул,  д.59 И кад.№ 78:34:0004443:30, Морские Дубки ул,  д.59 И кад.№ 78:34:0004443:32,  Морские Дубки ул,  д.59  Лит.А, И, К, Л, М, Н",2023-09-19 09:00:00,2023-09-19 20:00:00,Северные электрические сети,Курортный РЭС,ремонт здания ТП-108
Санкт-Петербург,Курортный район,п.Солнечное,"Лесная ул,  д.11 ,  Лесная ул,  д.1 А,  лит.А,  Лесная ул,  д. уч.4 (северо-западнее д.399 по Приморскому ш.),  Лесная ул,  д.3 ,  Лесная ул,  д.1 Солнечное п,  Курносовская ул,  д.13",2023-09-19 09:00:00,2023-09-19 20:00:00,Северные электрические сети,Курортный РЭС,Установка узла учета
Ленинградская область,Волосовский район,"Слепино,  Максимовка,  Мышкино,  Волна",,2023-09-19 09:00:00,2023-09-21 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Лужский район,"Малые Озерцы,  Большие Озерцы,  Крени",,2023-09-19 09:00:00,2023-09-19 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Волосовский район,"д. Черное,  д. Лиможа,  п.Извара д.1, 2, 11 (сберкасса, школа, музей, магазин Пятерочка, котельная, очистные, ферма, Сыроварня)",,2023-09-19 09:00:00,2023-09-19 18:00:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Тихвинский район,д. Астрача,"ТП 143-22-19 (Астрача-Западная),  ТП 143-22-05 (Астрача),  ТП 143-22-27 (Башня связи)",2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Тихвинский РЭС,Планируемое время отключения не более 6-х часов в указанный период времени.
Ленинградская область,Тосненский район,г. Любань,"Поликлиника.  Жил.дома-ул.Марата, 3-го Июля,  Кузнечная, Мира, Дзержинского, Больничная.Полиция.",2023-09-19 09:00:00,2023-09-19 18:30:00,Гатчинские ЭС,Тосненский РЭС,"Ремонт рубильника, чистка изоляции, ремонт трансформатора"
Ленинградская область,Бокситогорский район,"д. Машнево,  д. Великое село,  д. Лопастино,  СКЗ,  Башня",,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Бокситогорский район,п.Ефимовский,ТП 339-02-17 газовая котельная коррекционной школы-интернат,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Тихвинский район,д.Теплухино Кооператив Ручеек Садоводство Мелиоратор,,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Лужский район,Калгановка,,2023-09-19 09:00:00,2023-09-19 13:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки",,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Киришский район,СТ Рассвет,Полностью,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Санкт-Петербург,Тихвинский район,"д.Овино(комплекс) , д.Овино ГРС",,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Всеволожский район,с/х Красный октябрь,-,2023-09-19 09:00:00,2023-09-19 18:00:00,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Гатчинский район,Высоколючевой,,2023-09-19 09:00:00,2023-09-19 18:00:00,Гатчинские ЭС,Гатчинский РЭС,Замена провода в пролете опор №54/8-54/12
Ленинградская область,Кингисеппский район,"Старое Гарколово,  Новое Гарколово","Забалканская,  Пограничная,  Сиреневая,  база отдыха",2023-09-19 09:00:00,2023-09-19 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Волховский район,д. Загубье,Озёрная,2023-09-19 09:00:00,2023-09-19 16:00:00,Новоладожские ЭС,Лодейнопольский РЭС,Плановое отключение
Ленинградская область,Волосовский район,Клопицы (частный сектор),население,2023-09-19 09:00:00,2023-09-19 12:00:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ТП-8156
Ленинградская область,Волосовский район,"Реполка ,  Селище,  Сосново",население,2023-09-19 09:00:00,2023-09-19 17:00:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на  ПС-Сосницы
Ленинградская область,Гатчинский район,Большие Колпаны (часть),1-й Семилетки,2023-09-19 09:00:00,2023-09-19 18:00:00,Гатчинские ЭС,Гатчинский РЭС,ТП-205 замена провода в пролетах опор 1-10
Ленинградская область,Волховский район,д. Волосово,,2023-09-19 09:00:00,2023-09-19 17:10:00,Новоладожские ЭС,Волховский РЭС,Работы для улучшения качества и надежности электроснабжения потребителей в период низких температур и неблагоприятных погодных условий (с включением потребителей на ночь).
Ленинградская область,Тихвинский район,"ТП 143-29-02 (СТО),  ТП 143-29-03 (Автомир),  ТП 143-29-04 (Околица)",,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Лужский район,Дубо,,2023-09-19 09:00:00,2023-09-19 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Волосовский район,Ущевицы,,2023-09-19 09:00:00,2023-09-19 16:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,2023-09-19 06:00:00,2023-09-19 18:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район,"Пудость,  Покизен-Пурская,  Алапурская,  Ивановка,  Юля-Пурская,  СНТ Торфопредприятие,  Мыза-Ивановка Пегелево,  Сокколово,  Б. Рейзино,",,2023-09-19 00:01:00,2023-09-19 23:00:00,Гатчинские ЭС,Гатчинский РЭС,переключения 40 минут в указанный промежуток времени
Ленинградская область,Ломоносовский район,"д.Лопухинка (частично),  д.Ст.Буря,  д.Мёдуши,  д.Савольщина,  д.Заостровье (частично),  д.Нов.Буря,  д.Горки,  д.Никольское,  ур.Никкорово,  д.Муховицы,   а также все СНТ(ДНП) в районе данных населённых пунктов.","Население,  скважины,  ЦОО ""Березняки""",2023-09-19 00:01:00,2023-09-19 04:00:00,Гатчинские ЭС,Ломоносовский РЭС,"Плановые переключения по переводу нагрузки. Время отключения 10-40 минут в указанный промежуток, по всем населенным пунктам."
Ленинградская область,Волосовский район,"д.Шелково,  д.Голубовицы,  а также все СНТ (ДНП) в районе данных населённых пунктов.","Население,  скважины",2023-09-19 00:01:00,2023-09-19 04:00:00,Гатчинские ЭС,Ломоносовский РЭС,"Плановые переключения по переводу нагрузки. Время отключения 10-40 минут в указанный промежуток, по всем населенным пунктам."
